phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
phase1,1,1.2335512033244251,0.4339622641509434,1.062702054493272,0.5900383141762452,0.0009757729755661011
phase1,2,0.989678925525174,0.6308449548810501,0.8954471612342016,0.6628352490421456,0.000905463412215599
phase1,3,0.8666585492148958,0.6964725184577523,0.8271291799472209,0.6896551724137931,0.0007959536998847742
phase1,4,0.8208460962312744,0.7063166529942576,0.795028276370403,0.6934865900383141,0.000657963412215599
phase1,5,0.7658000269612882,0.7481542247744053,0.7780049817772204,0.7011494252873564,0.000505
phase1,6,0.7574315394799762,0.7391304347826086,0.7371708074748744,0.7279693486590039,0.0003520365877844011
phase1,7,0.7507685101159387,0.7219031993437244,0.7285062275627107,0.7394636015325671,0.00021404630011522585
phase1,8,0.7177849612561673,0.7506152584085316,0.7344793467229354,0.735632183908046,0.00010453658778440107
phase1,9,0.7143535886855278,0.7530762920426579,0.7178368760251451,0.7279693486590039,3.4227024433899005e-05
phase1,10,0.7275383806893628,0.7456931911402789,0.7220626937018501,0.7318007662835249,1e-05
phase2,1,0.6383006166883723,0.7530762920426579,0.506866572232082,0.8160919540229885,9.972883382072954e-05
phase2,2,0.462561594061034,0.8318293683347006,0.5522997161209355,0.7969348659003831,9.891830623632339e-05
phase2,3,0.37144281294034875,0.8728465955701394,0.4084759231271415,0.842911877394636,9.757729755661011e-05
phase2,4,0.3367626722642298,0.8851517637407711,0.36777158024438955,0.8659003831417624,9.572050015330873e-05
phase2,5,0.2593230729322144,0.9212469237079574,0.3958005443700657,0.8544061302681992,9.336825748732972e-05
phase2,6,0.27645431430834644,0.9089417555373257,0.35458783054603016,0.8812260536398467,9.05463412215599e-05
phase2,7,0.20221971164872354,0.933552091878589,0.32645332358663337,0.89272030651341,8.728566886113101e-05
phase2,8,0.2131028623733489,0.9294503691550451,0.3410508712589512,0.896551724137931,8.362196501476347e-05
phase2,9,0.17999657052183268,0.9401148482362592,0.43473798214989606,0.8773946360153256,7.959536998847741e-05
phase2,10,0.16024883183130384,0.9450369155045119,0.3276603349495208,0.896551724137931,7.524999999999999e-05
phase2,11,0.1620574755390909,0.9499589827727646,0.3273127328790011,0.9157088122605364,7.06334638322521e-05
phase2,12,0.1752076098623581,0.9360131255127153,0.3481349619640701,0.9118773946360154,6.579634122155988e-05
phase2,13,0.12617821704177606,0.9598031173092699,0.40485345281061086,0.9118773946360154,6.079162869547907e-05
phase2,14,0.1398767975385899,0.9540607054963085,0.38467755933716835,0.9003831417624522,5.567415893174884e-05
phase2,15,0.09774985907017159,0.9680065627563577,0.3947823508945918,0.89272030651341,5.05e-05
phase2,16,0.10521917112578101,0.9639048400328137,0.35000808899544206,0.9042145593869731,4.532584106825115e-05
phase2,17,0.07149603158553376,0.9786710418375718,0.36618999821415804,0.9118773946360154,4.0208371304520894e-05
phase2,18,0.07823589879337933,0.9762100082034455,0.3594114960267626,0.9080459770114943,3.520365877844009e-05
phase2,19,0.07375257248952802,0.9745693191140279,0.3463052491803736,0.9080459770114943,3.036653616774789e-05
phase2,20,0.054428466623977524,0.9835931091058244,0.3633683729217427,0.9042145593869731,2.5750000000000002e-05
phase2,21,0.06016541519939557,0.9803117309269893,0.3624454992341584,0.9080459770114943,2.140463001152258e-05
phase2,22,0.07112686408009805,0.9745693191140279,0.33241198973380515,0.9118773946360154,1.737803498523653e-05
phase2,23,0.048142039324779604,0.9893355209187858,0.35158882321882634,0.9042145593869731,1.3714331138868993e-05
phase2,24,0.045382478324065355,0.9860541427399507,0.3211253718169713,0.9042145593869731,1.0453658778440105e-05
phase2,25,0.05270443757089853,0.9835931091058244,0.34558965900905747,0.9003831417624522,7.631742512670283e-06
phase2,26,0.059409879936460006,0.9803117309269893,0.35148981155763415,0.9042145593869731,5.2794998466912506e-06
phase2,27,0.037771143061983675,0.9885151763740772,0.3300757562149302,0.9080459770114943,3.4227024433898994e-06
phase2,28,0.05114474341462781,0.985233798195242,0.345787574419345,0.9003831417624522,2.0816937636766182e-06
phase2,29,0.03883097679571992,0.9917965545529123,0.3329507078247509,0.9080459770114943,1.2711661792704665e-06
phase2,30,0.04123365217888571,0.9917965545529123,0.33220320405845327,0.9080459770114943,1e-06
